NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Najveè OŠ izobrazba;Srednja izobrazba;Vsaj visokošolska izobrazba;Moški – SKUPAJ;Moški – najveè OŠ izobrazba;Moški – srednja izobrazba;Moški – vsaj višješolska izobrazba;Ženske – SKUPAJ;Ženske – najveè OŠ izobrazba;Ženske – srednja izobrazba;Ženske – vsaj višješolska izobrazba
Posamezniki;2007;1562212;397243;908349;256620;782467;168839;499782;113846;779745;228403;408568;142774
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2007;832635;97752;504282;230601;426638;52839;274342;99457;405997;44913;229940;131144
..Pošiljanje ali prejemanje e-pošte;2007;694290;82701;397832;213758;355983;45299;219266;91418;338307;37402;178566;122340
..E-banèništvo;2007;298911;11764;155121;132026;156447;3167;90274;63006;142464;8597;64847;69021
..Iskanje informacij o blagu, storitvah;2007;732891;83038;434143;215709;378490;46305;244417;87768;354401;36733;189726;127941
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2007;-;-;-;-;-;-;-;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2007;409041;25511;232458;151073;194555;12709;121237;60609;214486;12801;111220;90465
..Branje spletni novic, spletnih èasopisov, spletnih revij;2007;366539;34115;199091;133332;179592;18702;101158;59732;186946;15413;97933;73601
...Naroèilo na spletne èasopisove, revije;2007;66086;1793;28393;35900;32123;717;14174;17233;33963;1076;14219;18667
..Iskanje službe, pošiljanje prošenj za službo;2007;177921;6958;123773;47189;91164;669;68650;21844;86757;6289;55123;25345
..Iskanje informacij, povezanih z zdravjem;2007;408285;22634;249236;136415;180975;12384;121452;47139;227311;10251;127784;89276
..E-naroèanje obiska pri zdravniku;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2007;-;-;-;-;-;-;-;-;-;-;-;-
...Telefoniranje prek interneta;2007;-;-;-;-;-;-;-;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2007;136735;15644;72826;48266;83867;7279;47892;28696;52869;8364;24934;19570
..Branje in objavljanje mnenj o politiènih temah;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Prodaja blaga, storitev;2007;146240;6374;93376;46490;91416;4685;62876;23855;54824;1688;30501;22635
..Prenašanje programske opreme;2007;292115;41759;170972;79384;189697;29036;117890;42771;102418;12723;53082;36613
..Nalaganje lastnih vsebin na spletne strani;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2007;-;-;-;-;-;-;-;-;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;2007;274334;31212;150319;92804;133907;14639;78066;41202;140427;16573;72252;51602
..Opravljanje teèaja prek interneta;2007;30846;-;17874;12972;19375;-;10919;8456;11471;-;6955;4516
..Pridobivanje novih znanj, informacij;2007;371033;42926;195905;132203;182236;23097;101940;57199;188797;19829;93965;75004
..Uporaba interneta za izobraževanje in teèaje;2007;431966;45978;232114;153874;212017;23097;121328;67592;219949;22881;110787;86282
..Udeležba kakršnega koli teèaja;2007;161947;20925;75923;65099;73888;8729;38464;26694;88059;12195;37459;38405
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2007;83818;12416;40856;30546;38150;6083;22381;9686;45668;6333;18476;20859
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2007;61805;8105;24627;29073;29229;2595;12651;13983;32577;5510;11976;15090
…Prenos uènega gradiva za teèaj prek interneta;2007;101098;12356;43639;45102;48398;5163;23788;19446;52700;7193;19851;25656
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2007;71599;5259;32513;33827;34437;995;17912;15530;37162;4264;14601;18297
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2007;352152;49626;212597;89929;199494;31923;126508;41064;152657;17703;86090;48864
..Poslušanje spletnih radijskih postaj;2007;271796;41233;157924;72640;161306;26421;97475;37410;110490;14812;60449;35229
..Gledanje spletne TV;2007;243898;26565;154791;62542;141607;18226;92767;30614;102291;8339;62024;31928
..Iskanje drugih informacij;2007;736808;82522;439975;214311;372632;42169;240403;90061;364176;40352;199573;124251
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2007;-;-;-;-;-;-;-;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Izdelava spletnih strani ali blogov;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2007;-;-;-;-;-;-;-;-;-;-;-;-
