LETO;NAMEN UPORABE INTERNETA;16–24;25–34;35–44;45–54;55–64;65–74
2007;Posamezniki;222328;303791;307482;313726;231679;183204
2007;Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];198164;243630;198472;133779;45894;12697
2007;..Pošiljanje ali prejemanje e-pošte;175458;205092;164695;104002;35661;9381
2007;..E-banèništvo;36006;92360;84076;59048;22780;4641
2007;..Iskanje informacij o blagu, storitvah;167595;226585;180965;111034;37416;9297
2007;…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;-;-;-;-;-;-
2007;…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;-;-;-;-;-;-
2007;..Uporaba storitev, povezanih s potovanji in nastanitvijo;84990;130466;96150;70936;17395;9104
2007;..Branje spletni novic, spletnih èasopisov, spletnih revij;80595;112142;90383;60293;17726;5399
2007;...Naroèilo na spletne èasopisove, revije;8100;18348;21775;14510;3353;-
2007;..Iskanje službe, pošiljanje prošenj za službo;49196;77121;36582;14409;612;-
2007;..Iskanje informacij, povezanih z zdravjem;73892;125550;113221;63897;25243;6483
2007;..E-naroèanje obiska pri zdravniku;-;-;-;-;-;-
2007;..Sodelovanje v spletnih družabnih omrežjih;-;-;-;-;-;-
2007;..Sodelovanje v profesionalnih spletnih omrežjih;-;-;-;-;-;-
2007;..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;-;-;-;-;-;-
2007;..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
2007;...Telefoniranje prek interneta;-;-;-;-;-;-
2007;…Video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
2007;..Telefoniranje prek interneta, videokonferenca;40171;46144;23263;20695;5499;963
2007;..Branje in objavljanje mnenj o politiènih temah;-;-;-;-;-;-
2007;..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;-;-;-;-;-;-
2007;..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;-;-;-;-;-;-
2007;..Prodaja blaga, storitev;32402;52654;37116;17187;4979;1901
2007;..Prenašanje programske opreme;101937;93745;54467;31552;10415;-
2007;..Nalaganje lastnih vsebin na spletne strani;-;-;-;-;-;-
2007;..Pridobivanje znanja s pomoèjo spletnih enciklopedij;-;-;-;-;-;-
2007;…Objavljanje lastnih prispevkov v spletnih enciklopedijah;-;-;-;-;-;-
2007;..Nalaganje vsebin na spletno stran;-;-;-;-;-;-
2007;..Pridobivanje informacij o izobraževanju;83381;90903;57765;33223;7021;2041
2007;..Opravljanje teèaja prek interneta;6963;8658;10133;4252;839;-
2007;..Pridobivanje novih znanj, informacij;108003;104112;83945;56576;16503;1894
2007;..Uporaba interneta za izobraževanje in teèaje;116349;132819;99159;61580;18124;3935
2007;..Udeležba kakršnega koli teèaja;48612;39393;47068;22735;4139;-
2007;…Izvajanje raziskovanj prek interneta v sklopu teèaja;27662;26581;19610;8937;1027;-
2007;…Izmenjava sporoèil prek interneta v povezavi s teèajem;20375;18278;12296;10163;693;-
2007;…Prenos uènega gradiva za teèaj prek interneta;32263;28863;24106;13593;2272;-
2007;…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;21147;16881;20245;12539;787;-
2007;..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;102954;112505;71780;52095;9840;2978
2007;..Poslušanje spletnih radijskih postaj;81827;95818;52154;34623;5870;1505
2007;..Gledanje spletne TV;59782;72834;56876;42818;8610;2978
2007;..Iskanje drugih informacij;181837;221027;177643;107253;37998;11052
2007;..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;-;-;-;-;-;-
2007;…Igranje spletnih iger z drugimi osebami;-;-;-;-;-;-
2007;..Izdelava spletnih strani ali blogov;-;-;-;-;-;-
2007;..Uporaba e-pošte za delitev datotek;-;-;-;-;-;-
2007;..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;-;-;-;-;-;-
2007;..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;-;-;-;-;-;-
2007;..Uporaba zunanjih naprav za delitev datotek;-;-;-;-;-;-
2007;..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;-;-;-;-;-;-
2007;..Pošiljanje sporoèil v spletne klepetalnice;-;-;-;-;-;-
2007;..Pošiljanje sporoèil v novièarske skupine;-;-;-;-;-;-
2007;..Pošiljanje sporoèil v spletne forume;-;-;-;-;-;-
2007;..Branje spletnih forumov;-;-;-;-;-;-
2007;..Neposredno sporoèanje;-;-;-;-;-;-
2007;..Branje blogov;-;-;-;-;-;-
2007;..Pošiljanje komentarjev na druge bloge;-;-;-;-;-;-
2007;..Ustvarjanje in urejanje lastnega bloga;-;-;-;-;-;-
2007;..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;114115;128149;116580;80304;21841;6970
2007;...Uporaba spletnih strani e-uprave za pridobivanje informacij;111811;119547;106079;75835;19039;5972
2007;…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;32451;78138;67044;44910;15676;3073
2007;…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;13485;29354;23410;23940;7945;998
2008;Posamezniki;216352;311927;308802;317385;247152;186739
2008;Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];202587;262168;218943;129477;66091;8010
2008;..Pošiljanje ali prejemanje e-pošte;181206;225377;180010;100571;51298;5598
2008;..E-banèništvo;41660;117376;105626;40770;24382;3382
2008;..Iskanje informacij o blagu, storitvah;172326;237411;185800;110930;54040;7164
2008;…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;-;-;-;-;-;-
2008;…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;-;-;-;-;-;-
2008;..Uporaba storitev, povezanih s potovanji in nastanitvijo;84944;132051;115656;53601;25426;1485
2008;..Branje spletni novic, spletnih èasopisov, spletnih revij;123050;171396;125427;69981;40172;4515
2008;...Naroèilo na spletne èasopisove, revije;21425;25402;22183;10026;10762;1726
2008;..Iskanje službe, pošiljanje prošenj za službo;49302;74535;23104;5742;2032;-
2008;..Iskanje informacij, povezanih z zdravjem;77569;136770;121769;61427;33839;3906
2008;..E-naroèanje obiska pri zdravniku;-;-;-;-;-;-
2008;..Sodelovanje v spletnih družabnih omrežjih;-;-;-;-;-;-
2008;..Sodelovanje v profesionalnih spletnih omrežjih;-;-;-;-;-;-
2008;..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;-;-;-;-;-;-
2008;..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
2008;...Telefoniranje prek interneta;-;-;-;-;-;-
2008;…Video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
2008;..Telefoniranje prek interneta, videokonferenca;-;-;-;-;-;-
2008;..Branje in objavljanje mnenj o politiènih temah;-;-;-;-;-;-
2008;..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;-;-;-;-;-;-
2008;..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;-;-;-;-;-;-
2008;..Prodaja blaga, storitev;73443;98129;72274;24852;8191;-
2008;..Prenašanje programske opreme;104691;119279;48215;20207;8945;846
2008;..Nalaganje lastnih vsebin na spletne strani;-;-;-;-;-;-
2008;..Pridobivanje znanja s pomoèjo spletnih enciklopedij;-;-;-;-;-;-
2008;…Objavljanje lastnih prispevkov v spletnih enciklopedijah;-;-;-;-;-;-
2008;..Nalaganje vsebin na spletno stran;-;-;-;-;-;-
2008;..Pridobivanje informacij o izobraževanju;100343;117375;88242;32530;15602;3078
2008;..Opravljanje teèaja prek interneta;13227;15117;8246;7584;2296;-
2008;..Pridobivanje novih znanj, informacij;138674;153097;118809;56876;25390;2695
2008;..Uporaba interneta za izobraževanje in teèaje;158182;178516;137218;69102;28206;3924
2008;..Udeležba kakršnega koli teèaja;-;-;-;-;-;-
2008;…Izvajanje raziskovanj prek interneta v sklopu teèaja;-;-;-;-;-;-
2008;…Izmenjava sporoèil prek interneta v povezavi s teèajem;-;-;-;-;-;-
2008;…Prenos uènega gradiva za teèaj prek interneta;-;-;-;-;-;-
2008;…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;-;-;-;-;-;-
2008;..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;-;-;-;-;-;-
2008;..Poslušanje spletnih radijskih postaj;-;-;-;-;-;-
2008;..Gledanje spletne TV;-;-;-;-;-;-
2008;..Iskanje drugih informacij;-;-;-;-;-;-
2008;..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;-;-;-;-;-;-
2008;…Igranje spletnih iger z drugimi osebami;-;-;-;-;-;-
2008;..Izdelava spletnih strani ali blogov;-;-;-;-;-;-
2008;..Uporaba e-pošte za delitev datotek;-;-;-;-;-;-
