NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;16–24;25–34;35–44;45–54;55–64;65–74;Moški – SKUPAJ;Moški 16–24;Moški 25–54;Moški 55–74;Ženske – SKUPAJ;Ženske 16–24;Ženske 25–54;Ženske 55–74
Posamezniki;2007;1562212;222328;303791;307482;313726;231679;183204;782467;115115;473487;193865;779745;107213;451513;221019
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2007;832635;198164;243630;198472;133779;45894;12697;426638;100539;292366;33733;405997;97625;283514;24858
..Pošiljanje ali prejemanje e-pošte;2007;694290;175458;205092;164695;104002;35661;9381;355983;93719;233535;28728;338307;81739;240254;16314
..E-banèništvo;2007;298911;36006;92360;84076;59048;22780;4641;156447;20921;116319;19206;142464;15084;119165;8215
..Iskanje informacij o blagu, storitvah;2007;732891;167595;226585;180965;111034;37416;9297;378490;88413;261616;28461;354401;79182;256968;18252
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2007;409041;84990;130466;96150;70936;17395;9104;194555;42496;133037;19023;214486;42494;164516;7477
..Branje spletni novic, spletnih èasopisov, spletnih revij;2007;366539;80595;112142;90383;60293;17726;5399;179592;38987;124054;16551;186946;41607;138765;6574
...Naroèilo na spletne èasopisove, revije;2007;66086;8100;18348;21775;14510;3353;-;32123;4006;25793;2324;33963;4094;28840;1029
..Iskanje službe, pošiljanje prošenj za službo;2007;177921;49196;77121;36582;14409;612;-;91164;22324;68229;612;86757;26873;59884;-
..Iskanje informacij, povezanih z zdravjem;2007;408285;73892;125550;113221;63897;25243;6483;180975;32699;133810;14466;227311;41193;168858;17260
..E-naroèanje obiska pri zdravniku;2007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
...Telefoniranje prek interneta;2007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2007;136735;40171;46144;23263;20695;5499;963;83867;22675;57059;4133;52869;17497;33043;2329
..Branje in objavljanje mnenj o politiènih temah;2007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
