NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Uèenec, dijak, študent;Zaposlen, samozaposlen;Upokojenec;Drugo
Posamezniki;2007;1562212;169492;874690;356762;161268
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2007;832635;166198;587285;32176;46975
..Pošiljanje ali prejemanje e-pošte;2007;694290;157150;479537;21044;36559
..E-banèništvo;2007;298911;28811;237456;15211;17433
..Iskanje informacij o blagu, storitvah;2007;732891;148303;520836;23375;40377
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2007;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2007;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2007;409041;70573;307370;14252;16847
..Branje spletni novic, spletnih èasopisov, spletnih revij;2007;366539;69661;266365;13161;17351
...Naroèilo na spletne èasopisove, revije;2007;66086;6660;51191;1551;6683
..Iskanje službe, pošiljanje prošenj za službo;2007;177921;38141;119861;422;19497
..Iskanje informacij, povezanih z zdravjem;2007;408285;60840;308304;19573;19569
..E-naroèanje obiska pri zdravniku;2007;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2007;-;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2007;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2007;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2007;-;-;-;-;-
...Telefoniranje prek interneta;2007;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2007;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2007;136735;42854;81290;3995;8597
..Branje in objavljanje mnenj o politiènih temah;2007;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2007;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2007;-;-;-;-;-
..Prodaja blaga, storitev;2007;146240;28813;105818;3115;8494
..Prenašanje programske opreme;2007;292115;96109;175848;5069;15090
..Nalaganje lastnih vsebin na spletne strani;2007;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2007;-;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2007;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2007;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;2007;274334;84685;171143;5039;13467
