NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Gosto poseljena obmoèja;Vmesna obmoèja;Redko poseljena obmoèja
Posamezniki;2007;1562212;293213;520545;748454
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2007;832635;177230;302273;353132
..Pošiljanje ali prejemanje e-pošte;2007;694290;156247;256246;281797
..E-banèništvo;2007;298911;71977;116938;109996
..Iskanje informacij o blagu, storitvah;2007;732891;159207;270116;303568
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2007;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2007;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2007;409041;100139;148364;160539
..Branje spletni novic, spletnih èasopisov, spletnih revij;2007;366539;95435;137380;133723
...Naroèilo na spletne èasopisove, revije;2007;66086;22213;15986;27887
..Iskanje službe, pošiljanje prošenj za službo;2007;177921;42865;54712;80344
..Iskanje informacij, povezanih z zdravjem;2007;408285;101487;145207;161591
..E-naroèanje obiska pri zdravniku;2007;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2007;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2007;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2007;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2007;-;-;-;-
...Telefoniranje prek interneta;2007;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2007;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2007;136735;47647;39452;49636
..Branje in objavljanje mnenj o politiènih temah;2007;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2007;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2007;-;-;-;-
..Prodaja blaga, storitev;2007;146240;38492;53462;54286
..Prenašanje programske opreme;2007;292115;69862;106084;116169
..Nalaganje lastnih vsebin na spletne strani;2007;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2007;-;-;-;-
